,Activation Function,nLayers,nHidden,Iterations,Best Loss,RASE,Relative Error,Pearson Correlation,Elapsed Time
38,identity,8,4,45,8.903105248375327,4.219344911189325,0.025853143565512934,0.00815913870500351,3.714716911315918
39,identity,8,5,46,8.903298943848219,4.219077406729672,0.0252068659180585,0.0082848991956046,3.881950855255127
40,identity,9,1,76,8.901416665406508,4.218852995943132,0.024592175385882674,0.008390394129986545,5.945250749588013
41,identity,9,2,48,8.901568734925588,4.219083229470184,0.024006688292263344,0.008282161865557414,4.150523900985718
42,identity,9,3,48,8.9017849450994,4.219325087253161,0.02344836878178398,0.008168458703317727,4.431750059127808
43,identity,9,4,25,8.906439440355031,4.220483050810806,0.02291514260590804,0.007623981870721552,2.2966997623443604
44,identity,9,5,46,8.90324500374784,4.220130119946513,0.022405712110633087,0.007789946513839907,4.35991907119751
45,identity,10,1,55,8.90169519656461,4.218880793090551,0.021918721686286283,0.008377327066862894,4.726433992385864
46,identity,10,2,37,8.902311371792125,4.219231165529614,0.021452374697913952,0.008212614339157875,3.522749662399292
47,identity,10,3,40,8.903708855654957,4.219154261079499,0.02100547442780627,0.00824876887320214,3.906630754470825
48,identity,10,4,66,8.900832631026907,4.218851830298278,0.020576874214456094,0.008390942081989317,6.228563070297241
49,identity,10,5,30,8.90341598774157,4.219257217024379,0.020165337263084566,0.008200366788531421,2.9682493209838867
50,tanh,1,1,96,8.904298510436174,4.21970803707152,0.019769856152700577,0.007988411450636002,2.592811107635498
51,tanh,1,2,85,8.893027420066067,4.217110819706521,0.019390047933198557,0.00920919582567925,2.529749870300293
52,tanh,1,3,130,8.886640367868862,4.215462002589513,0.01902483835782576,0.009983808372556302,3.885654926300049
53,tanh,1,4,141,8.879537012313016,4.213530905645034,0.018673448032638967,0.010890650536536595,4.204003572463989
54,tanh,1,5,172,8.873404071005355,4.211817758523851,0.01833507305170342,0.011694795752371978,5.493199586868286
55,tanh,2,1,92,8.897924461511678,4.218167690380147,0.018007775813175225,0.008712519782033246,3.473484516143799
56,tanh,2,2,133,8.889157757938266,4.216036235964263,0.01769227222864118,0.009714068515242369,5.282806873321533
57,tanh,2,3,277,8.853390066480268,4.207156735844505,0.01738889366696388,0.013881008133022288,11.210084915161133
58,tanh,2,4,844,8.653839335819033,4.156846920215949,0.01710259847535654,0.037324315369463346,34.780123472213745
59,tanh,2,5,966,8.611080096591358,4.146419413235353,0.016826943563379246,0.04214802766807835,40.5567090511322
60,tanh,3,1,78,8.89918579098322,4.21845286010269,0.016550832741818657,0.008578483038154783,3.318324327468872
61,tanh,3,2,153,8.882876381343038,4.21431731232411,0.016284152152979865,0.010521404503322507,7.211201190948486
62,tanh,3,3,85,8.886349063827753,4.2147417981768776,0.01602587804340047,0.010322064592512059,4.130625247955322
63,tanh,3,4,304,8.687825754242011,4.164596155442493,0.015781496865318143,0.033731710698824524,15.290666103363037
64,tanh,3,5,663,8.512117443333048,4.121031901450703,0.01554931760660724,0.05384150622586892,35.60523009300232
65,tanh,4,1,82,8.898785455371554,4.2183243009911155,0.015313263821665764,0.008638910086412044,4.128699064254761
66,tanh,4,2,90,8.885443345573803,4.21550227091743,0.01508457162765959,0.009964893963158361,4.967304229736328
67,tanh,4,3,372,8.734976131680796,4.178223908188266,0.014866461440978907,0.02739755022653889,21.089460134506226
68,tanh,4,4,376,8.72818847258042,4.174623895814828,0.014654928522050808,0.029072842174866498,22.551609992980957
69,tanh,4,5,340,8.562967701703535,4.140584827631372,0.014452623940034492,0.04484179149492662,21.451732873916626
70,tanh,5,1,85,8.899127835622018,4.21832217899924,0.014248475282668783,0.00863990747755572,4.845468282699585
71,tanh,5,2,62,8.894038379791457,4.217314574755841,0.014050107124058938,0.009113450888060926,3.9939682483673096
72,tanh,5,3,376,8.690128934522546,4.168169969239051,0.013861596569750504,0.03207260882720453,24.620042085647583
73,tanh,5,4,334,8.655908441086941,4.158517896671078,0.01367891530707031,0.03655020376544893,23.513750553131104
74,tanh,5,5,270,8.652048394940527,4.1723925263608255,0.013499812800461213,0.030110501255613098,20.074825048446655
75,tanh,6,1,50,8.900408589052413,4.218630232211841,0.013321502748830939,0.008495109238175091,3.2976372241973877
76,tanh,6,2,80,8.89056099490273,4.215974063066876,0.01314805741880545,0.009743275328554457,5.691594123840332
77,tanh,6,3,201,8.849319039382202,4.206216076823437,0.012979841887478916,0.01432192254846143,15.06040906906128
